country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,,,,,,,,,,,,,,,,,,,,0.12,0,0,0,0,0.41,0.39,0.38,0.37,0.24,1.5,1.96,0.41,0.05,0.14,0.36,0.53,0.57,0.48,0.44,0.44,0.38,0.35,0.35,0.34,0.35,0.34,0.34,0.33,0.33,0.3,0.28,0.4,0.39,0.39,0.34,0.22,0.34,0.44,0.52,0.54,0.51,0.49,0.57,1.24,1.51,1.6,1.41,1.55,1.61,1.67,1.71,1.73
"Congo, Dem. Rep.",,,,,,,,,,0.98,1.3,1.39,1.43,1.39,1.52,1.99,2.35,2.5,2.53,2.43,2.29,2.33,2.11,2.24,2.21,2.18,2.19,2.61,2.74,2.29,2.1,1.76,1.05,1.13,0.92,0.95,0.98,1.01,0.98,1.16,1.3,1.02,1.45,4.15,3.31,1.53,0.66,0.52,0.6,0.68,0.72,0.65,0.44,0.36,0.36,0.36,0.29,0.25,0.29,0.25,0.22,0.09,0.16,0.16,0.49,0.56,0.64,0.61,0.59,0.53,0.55,0.52
"Congo, Rep.",,,,,,,,,,,,,,,,,0,0,0.04,0.04,0,0,0,0.63,0.31,0,0,0.01,0,0,0,0,0.05,0.05,0.06,0.07,0.1,0.1,0.15,0.13,0.14,0.13,0.53,0.58,0.71,0.73,0.72,0.93,1.32,3.96,3.74,3.36,2.76,2.03,1.89,1.58,1.09,0.69,2.73,3.12,3.15,2.16,1.11,1.17,0.97,1.02,1.05,0.86,0.72,0.71,0.93,0.92
Colombia,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,3.55,3.44,3.64,4.83
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,,,,,,,,,,,,,,,,,,,,,,0.04,0,0.01,0,0,0.16,5.82,0.79,0.42,0.6,0.64,0.64,0.63,0.87,1.1,1.08,9.29,9.05,8.75,3.63,3.44,0.73,0.71,0.68,0.63,0.62,0.6,0.59,0.17,0.26,0.3,0.32,0.25,0.27,0.27,0.4,0.41,0.43,0.43,0.44,0.44,0.44,0.46,0.14,0.16,0.24,0.74,2.25,2.38,3.58,4.56
Cuba,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.01,0,0,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.06,0.2,0.22,0.54,1.03,1.33,1.27,1.22,0.87,0.71,0.78,0.57,0.54,0.56,0.64,0.78,0.96,1.24,1.75,2.53,2.79,3.34,5.09
Czech Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.09,0,0.01,0.03,0.02,0.02,0.02,0.01,0.06,0.13,0.09,0.05,0.03,0.03,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,3.71
