country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cuba,,,,,,,,,,,,,,,,,,,0.17,0.19,0.6,0.19,0,0.02,0,0,0,0,0.04,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.07,0.13,0.16,0.2,0.21,0.21,0.23,0.23,0.23,0.21,0.21,0.21,0.2,0.19,0.16,0.16,0.18,0.31,0.08,0.08,0.09,0.1,0.08,0.08,0.08,0.08,0.08,0.1,0.16,0.28,0.55,0.63,0.74,1.07
Cyprus,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.05,0.06,0.06,0.04,0.03,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.07,0.07,0.05,0.04,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,2.9,2.87,2.81,1.22,0.46,0.26,0.28,0.08,0.07,0.07,0.06,0.09,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.12,0.13,0.16,0.22,0.29,0.3,0.3,0.3,0.33,0.24
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,0.08,0.06,0.06,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.07,0.18,0.21,0.13,0.13,0.18,0.18,0.25,0.28
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
Algeria,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Ecuador,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.07,0.09,0.11,0.11,0.12,0.14,0.16,0.21
Egypt,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.09,0.09,0.08,0.07,0.07,0.01,0.01,0.01,0,0,24.6,26.2,21.6,20.7,13.3,14.7,13.9,14.9,14.7,15.9,13.7,13.5,4.78,4.85,5.23,6.9,7.55,6.69,7.25,7.5,8.31,9.4,10.2,12.5,14.1,15.6,16.6,17,16.5,16.8,16.3,15.7
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.02,0.02,0.09,0.09,0.06,0.05,0.04,0.04,0.09,0.09,0.07,0.06,0.06,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
